seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,250000.0,3600.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,80000.0,2000.0,Unfurnished,4.0
AGENT,4.0,BHK,Independent Floor,Safdarjung Development Area,225000.0,4500.0,Semi-Furnished,5.0
AGENT,3.0,BHK,Independent Floor,Gulmohar park,130000.0,4500.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,220000.00000000003,4500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,300000.0,3000.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,130000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,200000.0,3000.0,Semi-Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash,145000.0,2500.0,Semi-Furnished,5.0
AGENT,3.0,BHK,Independent Floor,Gulmohar park,155000.0,2500.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,230000.0,2200.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,210000.0,4500.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Green Park,72000.0,1600.0,Unfurnished,3.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,110000.0,2050.0,Unfurnished,4.0
AGENT,3.0,BHK,Independent Floor,Gulmohar park,135000.0,5200.0,Unfurnished,3.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,125000.0,3600.0,Unfurnished,4.0
AGENT,3.0,BHK,Independent Floor,Gulmohar park,130000.0,2500.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,150000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Park,250000.0,4000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,125000.0,2050.0,Unfurnished,3.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,250000.0,4000.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,200000.0,4500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Gulmohar park,180000.0,4500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,260000.0,3000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Anand Niketan,175000.0,2000.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,East of Kailash,150000.0,2200.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Safdarjung Enclave,110000.0,1600.0,Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Shanti Niketan,300000.0,4000.0,Unfurnished,4.0
AGENT,3.0,BHK,Independent Floor,Panchsheel Enclave,90000.0,1700.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash,200000.0,3700.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,200000.0,3600.0,Semi-Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Gulmohar park,200000.0,2500.0,Unfurnished,5.0
AGENT,5.0,BHK,Independent House,Greater kailash 1,300000.0,2500.0,Unfurnished,5.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,180000.0,2000.0,Unfurnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,170000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Sundar Nagar,400000.0,4000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,325000.0,2200.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Golf Links,350000.0,3000.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,390000.0,2200.0,Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,275000.0,2200.0,Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Anand Niketan,225000.0,2200.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Anand Niketan,160000.0,2200.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,160000.0,2000.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,200000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,275000.0,3000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,175000.0,2200.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,200000.0,2000.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Safdarjung Enclave,110000.0,2000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,175000.0,2000.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Sarvodaya Enclave,125000.0,2500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,West End,210000.0,2500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Anand Niketan,220000.00000000003,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,145000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Safdarjung Enclave,110000.0,2700.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Greater Kailash,70000.0,1600.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,150000.0,2500.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Panchsheel Park,170000.0,2500.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,125000.0,2200.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Greater Kailash,75000.0,1700.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash,200000.0,3500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,230000.0,2200.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Hauz Khas,110000.0,1750.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,110000.0,2000.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,290000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Enclave,160000.0,2000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Panchsheel Enclave,110000.0,1700.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,120000.0,2000.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,135000.0,2200.0,Semi-Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Park,240000.0,4000.0,Semi-Furnished,5.0
AGENT,3.0,BHK,Independent Floor,Safdarjung Development Area,85000.0,1600.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Central Ridge Reserve Forest,220000.00000000003,2200.0,Semi-Furnished,3.0
